"wvlen,"	"Cu,"	"Ag,"	Au									
E (eV)	R	eps1	eps2	R	eps1	eps2	R	eps1	eps2	lambda(microns)		
0.1	0.994	-7180.1	1911.2	0.997	-7461.3	878.91	0.995	-6991.5	1507.6	12.4	-7461.3	878.91
0.15	0.994	-3410.3	601.93	0.996	-3557.8	385.58	0.995	-3173.2	453.84	8.266666667	-3557.8	385.58
0.2	0.994	-1957.6	263.71	0.996	-2045.3	167.58	0.995	-1795.6	192.16	6.2	-2045.3	167.58
0.25	0.994	-1265.2	137.08	0.996	-1321.5	89.36	0.995	-1150.6	98.35	4.96	-1321.5	89.36
0.3	0.994	-881.95	79.3	0.996	-921.87	52.04	0.995	-797.94	56.74	4.133333333	-921.87	52.04
0.35	0.994	-648.36	49.85	0.996	-678.29	33.28	0.995	-585.08	35.61	3.542857143	-678.29	33.28
0.4	0.994	-495.91	33.39	0.996	-519.61	22.62	0.995	-444.42	23.58	3.1	-519.61	22.62
0.45	0.994	-391.07	23.48	0.996	-410.43	16.09	0.994	-350.2	19.82	2.755555556	-410.43	16.09
0.5	0.994	-315.94	17.12	0.996	-332.14	11.87	0.994	-284.22	14.49	2.48	-332.14	11.87
0.55	0.994	-260.24	12.83	0.996	-274.11	9.02	0.994	-234.07	10.84	2.254545455	-274.11	9.02
0.6	0.994	-217.8	9.84	0.996	-229.91	7.02	0.994	-195.87	8.3	2.066666667	-229.91	7.02
0.65	0.994	-184.71	7.71	0.996	-195.46	5.56	0.994	-165.98	6.48	1.907692308	-195.46	5.56
0.7	0.994	-158.43	6.14	0.996	-168.08	4.5	0.994	-142.26	5.15	1.771428571	-168.08	4.5
0.75	0.994	-137.21	4.98	0.996	-145.98	3.73	0.994	-122.75	4.13	1.653333333	-145.98	3.73
0.8	0.994	-119.82	4.08	0.996	-127.9	3.14	0.993	-107.13	3.93	1.55	-127.9	3.14
0.85	0.994	-105.4	3.38	0.996	-112.92	2.67	0.993	-94.43	3.26	1.458823529	-112.92	2.67
0.9	0.994	-93.3	2.83	0.996	-100.34	2.29	0.993	-83.54	2.72	1.377777778	-100.34	2.29
0.95	0.994	-83.04	2.4	0.995	-89.71	2	0.993	-74.17	2.28	1.305263158	-89.71	2
1	0.994	-74.28	2.05	0.995	-80.64	1.76	0.992	-66.27	2.2	1.24	-80.64	1.76
1.1	0.994	-60.16	1.52	0.995	-66.06	1.37	0.992	-53.74	1.61	1.127272727	-66.06	1.37
1.2	0.993	-49.38	1.18	0.995	-54.93	1.08	0.991	-43.98	1.35	1.033333333	-54.93	1.08
1.3	0.993	-40.96	0.94	0.995	-46.26	0.89	0.99	-36.45	1.14	0.953846154	-46.26	0.89
1.4	0.993	-34.22	0.78	0.994	-39.38	0.74	0.989	-30.43	0.96	0.885714286	-39.38	0.74
1.5	0.992	-28.74	0.67	0.994	-33.8	0.64	0.988	-25.5	0.81	0.826666667	-33.8	0.64
1.6	0.991	-24.17	0.59	0.993	-29.25	0.57	0.986	-21.43	0.73	0.775	-29.25	0.57
1.7	0.988	-20.31	0.58	0.992	-25.48	0.52	0.984	-17.99	0.65	0.729411765	-25.48	0.52
1.8	0.984	-16.99	0.6	0.991	-22.32	0.48	0.979	-14.98	0.66	0.688888889	-22.32	0.48
1.9	0.977	-14.12	0.66	0.991	-19.64	0.44	0.968	-12.44	0.77	0.652631579	-19.64	0.44
2	0.97	-11.43	0.64	0.99	-17.34	0.4	0.953	-10.25	0.87	0.62	-17.34	0.4
2.1	0.948	-8.5	0.74	0.988	-15.35	0.39	0.925	-8.26	1.05	0.59047619	-15.35	0.39
2.2	0.745	-5.54	2.49	0.986	-13.64	0.37	0.88	-6.54	1.26	0.563636364	-13.64	0.37
2.3	0.6	-4.88	4.69	0.985	-12.13	0.36	0.807	-4.95	1.48	0.539130435	-12.13	0.36
2.4	0.59	-5.07	5.45	0.983	-10.81	0.34	0.647	-3.18	1.86	0.516666667	-10.81	0.34
2.5	0.58	-4.92	5.57	0.981	-9.64	0.32	0.438	-1.92	2.79	0.496	-9.64	0.32
2.6	0.57	-4.7	5.53	0.979	-8.58	0.31	0.331	-0.83	3.95	0.476923077	-8.58	0.31
2.7	0.552	-4.31	5.44	0.976	-7.64	0.29	0.356	-0.89	5.06	0.459259259	-7.64	0.29
2.8	0.532	-3.92	5.37	0.974	-6.78	0.27	0.368	-1.02	5.34	0.442857143	-6.78	0.27
2.9	0.515	-3.6	5.31	0.971	-5.99	0.25	0.368	-0.94	5.54	0.427586207	-5.99	0.25
3	0.495	-3.22	5.17	0.968	-5.25	0.23	0.369	-0.9	5.69	0.413333333	-5.25	0.23
3.1	0.469	-2.78	5.15	0.963	-4.57	0.23	0.371	-0.92	5.77	0.4	-4.57	0.23
3.2	0.453	-2.52	5.2	0.959	-3.92	0.2	0.368	-0.87	5.72	0.3875	-3.92	0.2
3.3	0.438	-2.27	5.13	0.944	-3.29	0.22	0.362	-0.76	5.68	0.375757576	-3.29	0.22
3.4	0.421	-2	5.13	0.92	-2.7	0.25	0.356	-0.64	5.66	0.364705882	-2.7	0.25
3.5	0.41	-1.81	5.14	0.875	-2.14	0.31	0.349	-0.49	5.65	0.354285714	-2.14	0.31
3.6	0.4	-1.64	5.13	0.805	-1.59	0.36	0.346	-0.37	5.75	0.344444444	-1.59	0.36
3.7	0.393	-1.53	5.1	0.7	-1.05	0.39	0.351	-0.38	5.93	0.335135135	-1.05	0.39
3.8	0.384	-1.4	4.99	0.425	-0.33	0.4	0.36	-0.56	6.01	0.326315789	-0.33	0.4
3.9	0.372	-1.22	4.92	0.065	0.52	0.8	0.366	-0.74	5.91	0.317948718	0.52	0.8
4	0.361	-1.04	4.87	0.09	1.17	1.66	0.369	-0.88	5.75	0.31	1.17	1.66
4.1	0.35	-0.86	4.83	0.146	1.19	2.52	0.368	-0.93	5.57	0.302439024	1.19	2.52
4.2	0.337	-0.63	4.84	0.191	0.87	3.08	0.367	-0.97	5.41	0.295238095	0.87	3.08
4.3	0.331	-0.46	4.98	0.217	0.57	3.31	0.368	-1.04	5.28	0.288372093	0.57	3.31
4.4	0.331	-0.39	5.12	0.235	0.35	3.44	0.37	-1.13	5.08	0.281818182	0.35	3.44
4.5	0.334	-0.37	5.25	0.249	0.15	3.48	0.37	-1.2	4.83	0.275555556	0.15	3.48
4.6	0.339	-0.42	5.38	0.256	0.03	3.46	0.364	-1.18	4.52	0.269565217	0.03	3.46
4.7	0.346	-0.51	5.48	0.263	-0.09	3.44	0.354	-1.08	4.28	0.263829787	-0.09	3.44
4.8	0.355	-0.66	5.57	0.265	-0.15	3.37	0.344	-0.98	4.07	0.258333333	-0.15	3.37
4.9	0.367	-0.9	5.61	0.267	-0.19	3.33	0.332	-0.86	3.88	0.253061224	-0.19	3.33
5	0.379	-1.17	5.48	0.269	-0.24	3.27	0.319	-0.73	3.71	0.248	-0.24	3.27
5.1	0.384	-1.33	5.31	0.269	-0.26	3.2	0.307	-0.61	3.59	0.243137255	-0.26	3.2
5.2	0.392	-1.5	5.14	0.267	-0.27	3.13	0.295	-0.49	3.48	0.238461538	-0.27	3.13
5.3	0.397	-1.63	4.9	0.265	-0.26	3.08	0.285	-0.4	3.39	0.233962264	-0.26	3.08
5.4	0.4	-1.69	4.65	0.264	-0.26	3.04	0.275	-0.31	3.3	0.22962963	-0.26	3.04
5.5	0.401	-1.73	4.42	0.263	-0.28	3	0.265	-0.21	3.22	0.225454545	-0.28	3
5.6	0.402	-1.74	4.18	0.264	-0.3	2.96	0.256	-0.13	3.14	0.221428571	-0.3	2.96
5.7	0.402	-1.74	3.94	0.265	-0.32	2.9	0.246	-0.05	3.05	0.21754386	-0.32	2.9
5.8	0.398	-1.69	3.7	0.265	-0.35	2.84	0.236	0.05	2.98	0.213793103	-0.35	2.84
5.9	0.394	-1.63	3.49	0.265	-0.37	2.77	0.227	0.13	2.92	0.210169492	-0.37	2.77
6	0.385	-1.51	3.26	0.266	-0.39	2.69	0.218	0.22	2.86	0.206666667	-0.39	2.69
